Timestamp,Student Name,Department,Event Name,Rating,Feedback,Suggestions
2025-07-17 16:00:22.863929,Student_535,ME,Alumni Meet,2,Great work by the organizing committee!,Add more interactive sessions.
2025-01-30 16:00:22.863929,Student_206,ECE,Seminar,5,Excellent event! Great speakers and arrangements.,Keep it up!
2025-04-22 16:00:22.863929,Student_120,CSE,Sports Meet,4,The event was really well organized and enjoyable.,Improve the coordination next time.
2025-06-28 16:00:22.863929,Student_566,CSE,Tech Fest,4,Great work by the organizing committee!,Start the event on time.
2024-12-01 16:00:22.863929,Student_558,ME,Seminar,5,"Loved the energy, but the management could improve.",Bring more sponsors.
2025-07-20 16:00:22.863929,Student_971,CSE,Cultural Week,5,Excellent event! Great speakers and arrangements.,Include more guest speakers.
2025-06-19 16:00:22.863929,Student_761,BBA,Alumni Meet,2,Great work by the organizing committee!,Bring more sponsors.
2025-02-12 16:00:22.863929,Student_443,CSE,Workshop,5,Good experience but the sound system had issues.,Provide feedback certificates.
2025-01-07 16:00:22.863929,Student_485,CSE,Seminar,5,The event was engaging and informative.,Better food arrangements needed.
2025-01-24 16:00:22.863929,Student_260,Civil,Cultural Week,5,"Loved the energy, but the management could improve.",Better food arrangements needed.
2024-12-18 16:00:22.863929,Student_121,IT,Sports Meet,2,Great work by the organizing committee!,Improve the coordination next time.
2025-03-06 16:00:22.863929,Student_956,ME,Cultural Week,2,I liked it but it started late.,Better food arrangements needed.
2025-08-30 16:00:22.863929,Student_610,IT,Workshop,3,The event was engaging and informative.,Improve the coordination next time.
2025-04-23 16:00:22.863929,Student_882,BBA,Sports Meet,3,I liked it but it started late.,Improve the coordination next time.
2025-05-06 16:00:22.863929,Student_662,BBA,Sports Meet,5,Could have more workshops next time.,Keep it up!
2025-09-03 16:00:22.863929,Student_343,BBA,Workshop,5,I liked it but it started late.,Improve the coordination next time.
2025-06-19 16:00:22.863929,Student_584,IT,Cultural Week,4,Great work by the organizing committee!,Include more guest speakers.
2025-06-15 16:00:22.863929,Student_120,CSE,Tech Fest,2,"Loved the energy, but the management could improve.",Include more guest speakers.
2025-05-14 16:00:22.863929,Student_373,IT,Sports Meet,5,Could have more workshops next time.,Include more guest speakers.
2025-07-31 16:00:22.863929,Student_415,ECE,Hackathon,3,Great work by the organizing committee!,Bring more sponsors.
2025-02-28 16:00:22.863929,Student_876,ECE,Seminar,3,The event was really well organized and enjoyable.,Start the event on time.
2025-09-05 16:00:22.863929,Student_997,IT,Tech Fest,5,Great work by the organizing committee!,Better food arrangements needed.
2025-07-28 16:00:22.863929,Student_466,MBA,Hackathon,5,"It was average, expected better coordination.",Keep it up!
2025-02-06 16:00:22.863929,Student_134,CSE,Alumni Meet,3,Good experience but the sound system had issues.,Include more guest speakers.
2025-08-08 16:00:22.863929,Student_661,ECE,Cultural Week,5,Excellent event! Great speakers and arrangements.,Start the event on time.
2025-10-26 16:00:22.863929,Student_489,ECE,Cultural Week,3,Great work by the organizing committee!,Bring more sponsors.
2025-07-14 16:00:22.863929,Student_871,CSE,Workshop,3,Could have more workshops next time.,Improve the coordination next time.
2025-04-20 16:00:22.863929,Student_501,Civil,Alumni Meet,3,The event was really well organized and enjoyable.,Keep it up!
2025-09-14 16:00:22.863929,Student_261,MBA,Sports Meet,3,Very inspiring and fun event.,Provide feedback certificates.
2025-01-31 16:00:22.863929,Student_962,MBA,Workshop,5,Great work by the organizing committee!,Improve the coordination next time.
2025-01-30 16:00:22.863929,Student_555,BBA,Tech Fest,3,Very inspiring and fun event.,Start the event on time.
2025-03-27 16:00:22.863929,Student_351,ME,Sports Meet,2,Great work by the organizing committee!,Start the event on time.
2025-04-21 16:00:22.863929,Student_395,ECE,Tech Fest,2,Great work by the organizing committee!,Make it longer next time!
2025-04-03 16:00:22.863929,Student_848,IT,Workshop,3,The event was engaging and informative.,Include more guest speakers.
2025-09-05 16:00:22.863929,Student_891,ME,Hackathon,3,The event was really well organized and enjoyable.,Better food arrangements needed.
2025-03-25 16:00:22.863929,Student_863,CSE,Alumni Meet,5,Excellent event! Great speakers and arrangements.,Provide feedback certificates.
2025-09-17 16:00:22.863929,Student_256,Civil,Workshop,4,Good experience but the sound system had issues.,Keep it up!
2024-12-31 16:00:22.863929,Student_164,Civil,Cultural Week,2,I liked it but it started late.,Improve the coordination next time.
2024-12-05 16:00:22.863929,Student_620,BBA,Sports Meet,5,I liked it but it started late.,Need more technical activities.
2025-06-21 16:00:22.863929,Student_747,BBA,Alumni Meet,5,Good experience but the sound system had issues.,Provide feedback certificates.
2025-08-26 16:00:22.863929,Student_238,ECE,Tech Fest,4,I liked it but it started late.,Start the event on time.
2025-08-08 16:00:22.863929,Student_491,ECE,Tech Fest,4,The event was engaging and informative.,Better food arrangements needed.
2025-01-12 16:00:22.863929,Student_478,MBA,Tech Fest,2,"Loved the energy, but the management could improve.",Start the event on time.
2025-03-11 16:00:22.863929,Student_140,MBA,Cultural Week,5,Excellent event! Great speakers and arrangements.,Improve the coordination next time.
2025-06-15 16:00:22.863929,Student_300,ME,Cultural Week,5,"It was average, expected better coordination.",Start the event on time.
2025-02-02 16:00:22.863929,Student_132,MBA,Workshop,5,Great work by the organizing committee!,Add more interactive sessions.
2025-08-27 16:00:22.863929,Student_827,ME,Hackathon,2,Good experience but the sound system had issues.,Provide feedback certificates.
2025-07-21 16:00:22.863929,Student_783,BBA,Hackathon,5,"It was average, expected better coordination.",Provide feedback certificates.
2025-03-28 16:00:22.863929,Student_646,BBA,Cultural Week,2,The event was really well organized and enjoyable.,Need more technical activities.
2025-03-15 16:00:22.863929,Student_712,ECE,Sports Meet,4,The event was engaging and informative.,Start the event on time.
2025-06-19 16:00:22.863929,Student_868,Civil,Seminar,2,Could have more workshops next time.,Improve the coordination next time.
2025-03-24 16:00:22.863929,Student_602,MBA,Tech Fest,4,Excellent event! Great speakers and arrangements.,Start the event on time.
2024-11-03 16:00:22.863929,Student_894,MBA,Seminar,2,I liked it but it started late.,Include more guest speakers.
2025-04-04 16:00:22.863929,Student_114,BBA,Seminar,3,"Loved the energy, but the management could improve.",Improve the coordination next time.
2025-09-16 16:00:22.863929,Student_991,ME,Sports Meet,2,Could have more workshops next time.,Improve the coordination next time.
2025-05-02 16:00:22.863929,Student_674,IT,Seminar,5,I liked it but it started late.,Provide feedback certificates.
2025-03-11 16:00:22.863929,Student_340,Civil,Seminar,5,"It was average, expected better coordination.",Provide feedback certificates.
2025-07-24 16:00:22.863929,Student_833,ECE,Sports Meet,2,The event was engaging and informative.,Include more guest speakers.
2025-03-11 16:00:22.863929,Student_848,IT,Alumni Meet,4,I liked it but it started late.,Provide feedback certificates.
2025-05-10 16:00:22.863929,Student_640,MBA,Alumni Meet,5,"It was average, expected better coordination.",Better food arrangements needed.
2025-10-15 16:00:22.863929,Student_259,ME,Hackathon,4,Great work by the organizing committee!,Add more interactive sessions.
2025-04-24 16:00:22.863929,Student_342,Civil,Workshop,3,Good experience but the sound system had issues.,Improve the coordination next time.
2025-01-17 16:00:22.863929,Student_677,IT,Seminar,3,I liked it but it started late.,Provide feedback certificates.
2025-09-13 16:00:22.863929,Student_673,ECE,Tech Fest,2,I liked it but it started late.,Include more guest speakers.
2025-06-16 16:00:22.863929,Student_895,ME,Cultural Week,5,"It was average, expected better coordination.",Keep it up!
2025-07-12 16:00:22.863929,Student_655,BBA,Workshop,5,Great work by the organizing committee!,Improve the coordination next time.
2025-01-15 16:00:22.863929,Student_430,MBA,Hackathon,5,Great work by the organizing committee!,Improve the coordination next time.
2024-11-14 16:00:22.863929,Student_572,ME,Tech Fest,4,Good experience but the sound system had issues.,Start the event on time.
2025-04-21 16:00:22.863929,Student_324,IT,Tech Fest,2,The event was engaging and informative.,Bring more sponsors.
2025-01-18 16:00:22.863929,Student_732,BBA,Sports Meet,5,The event was engaging and informative.,Need more technical activities.
2025-03-09 16:00:22.863929,Student_358,IT,Cultural Week,4,"It was average, expected better coordination.",Start the event on time.
2025-04-13 16:00:22.863929,Student_555,MBA,Sports Meet,4,Could have more workshops next time.,Bring more sponsors.
2025-06-13 16:00:22.863929,Student_417,IT,Tech Fest,2,The event was engaging and informative.,Provide feedback certificates.
2025-03-17 16:00:22.863929,Student_918,MBA,Tech Fest,3,The event was engaging and informative.,Start the event on time.
2025-05-09 16:00:22.863929,Student_763,MBA,Alumni Meet,4,"It was average, expected better coordination.",Start the event on time.
2024-12-17 16:00:22.863929,Student_473,IT,Cultural Week,5,Could have more workshops next time.,Provide feedback certificates.
2025-07-24 16:00:22.863929,Student_571,ME,Workshop,2,Could have more workshops next time.,Need more technical activities.
2025-05-01 16:00:22.863929,Student_212,MBA,Tech Fest,3,Great work by the organizing committee!,Add more interactive sessions.
2025-09-06 16:00:22.863929,Student_367,IT,Tech Fest,3,Very inspiring and fun event.,Improve the coordination next time.
2025-01-06 16:00:22.863929,Student_485,BBA,Alumni Meet,4,The event was really well organized and enjoyable.,Bring more sponsors.
2025-07-07 16:00:22.863929,Student_712,ECE,Cultural Week,2,"It was average, expected better coordination.",Better food arrangements needed.
2025-08-08 16:00:22.865370,Student_798,ME,Hackathon,2,Very inspiring and fun event.,Provide feedback certificates.
2025-10-26 16:00:22.865370,Student_741,ME,Seminar,5,I liked it but it started late.,Need more technical activities.
2025-09-04 16:00:22.865370,Student_954,Civil,Seminar,2,Excellent event! Great speakers and arrangements.,Add more interactive sessions.
2025-03-18 16:00:22.865370,Student_324,IT,Sports Meet,2,Could have more workshops next time.,Start the event on time.
2025-06-24 16:00:22.865370,Student_229,ME,Seminar,2,Good experience but the sound system had issues.,Provide feedback certificates.
2025-05-09 16:00:22.865370,Student_829,Civil,Workshop,5,The event was engaging and informative.,Add more interactive sessions.
2025-04-13 16:00:22.865370,Student_515,MBA,Alumni Meet,4,"Loved the energy, but the management could improve.",Bring more sponsors.
2024-12-08 16:00:22.865370,Student_538,BBA,Tech Fest,4,The event was engaging and informative.,Improve the coordination next time.
2025-04-27 16:00:22.865370,Student_222,MBA,Seminar,2,Excellent event! Great speakers and arrangements.,Make it longer next time!
2025-02-15 16:00:22.865370,Student_393,ME,Workshop,5,I liked it but it started late.,Make it longer next time!
2024-12-07 16:00:22.865370,Student_983,Civil,Seminar,3,"It was average, expected better coordination.",Provide feedback certificates.
2025-04-13 16:00:22.865370,Student_610,BBA,Hackathon,5,"It was average, expected better coordination.",Start the event on time.
2025-06-06 16:00:22.865370,Student_708,CSE,Seminar,2,The event was really well organized and enjoyable.,Add more interactive sessions.
2025-06-26 16:00:22.865370,Student_286,MBA,Alumni Meet,3,"It was average, expected better coordination.",Improve the coordination next time.
2024-11-13 16:00:22.865370,Student_870,ME,Tech Fest,5,Could have more workshops next time.,Bring more sponsors.
2025-02-18 16:00:22.865370,Student_502,MBA,Hackathon,3,"It was average, expected better coordination.",Need more technical activities.
2025-06-03 16:00:22.865370,Student_247,IT,Tech Fest,5,"It was average, expected better coordination.",Need more technical activities.
2025-04-12 16:00:22.865370,Student_919,ME,Sports Meet,2,"Loved the energy, but the management could improve.",Bring more sponsors.
2025-06-22 16:00:22.865370,Student_650,MBA,Tech Fest,3,Good experience but the sound system had issues.,Better food arrangements needed.
2024-11-02 16:00:22.865370,Student_740,MBA,Cultural Week,4,Good experience but the sound system had issues.,Provide feedback certificates.
2025-05-30 16:00:22.865370,Student_514,IT,Alumni Meet,3,"It was average, expected better coordination.",Provide feedback certificates.
2025-01-03 16:00:22.865370,Student_710,CSE,Sports Meet,4,"Loved the energy, but the management could improve.",Provide feedback certificates.
2025-02-18 16:00:22.865370,Student_243,ME,Sports Meet,3,"Loved the energy, but the management could improve.",Need more technical activities.
2025-07-08 16:00:22.865370,Student_671,BBA,Cultural Week,2,"Loved the energy, but the management could improve.",Add more interactive sessions.
2025-10-26 16:00:22.865370,Student_996,IT,Seminar,5,Excellent event! Great speakers and arrangements.,Make it longer next time!
2025-02-16 16:00:22.865370,Student_751,ME,Workshop,2,"Loved the energy, but the management could improve.",Make it longer next time!
2025-09-21 16:00:22.865370,Student_259,MBA,Tech Fest,4,"Loved the energy, but the management could improve.",Add more interactive sessions.
2025-10-19 16:00:22.865370,Student_332,MBA,Seminar,4,Very inspiring and fun event.,Keep it up!
2025-06-03 16:00:22.865370,Student_915,IT,Seminar,5,Good experience but the sound system had issues.,Make it longer next time!
2025-06-19 16:00:22.865370,Student_503,MBA,Workshop,5,The event was engaging and informative.,Need more technical activities.
2025-09-04 16:00:22.865370,Student_219,ME,Sports Meet,2,"Loved the energy, but the management could improve.",Improve the coordination next time.
2025-07-04 16:00:22.865370,Student_686,ECE,Sports Meet,2,"Loved the energy, but the management could improve.",Make it longer next time!
2025-07-16 16:00:22.865370,Student_951,ECE,Hackathon,3,"It was average, expected better coordination.",Bring more sponsors.
2025-03-15 16:00:22.865370,Student_211,ME,Workshop,3,Great work by the organizing committee!,Need more technical activities.
2025-07-21 16:00:22.865370,Student_252,CSE,Workshop,2,I liked it but it started late.,Better food arrangements needed.
2024-11-24 16:00:22.865370,Student_805,ECE,Sports Meet,3,Great work by the organizing committee!,Need more technical activities.
2025-05-18 16:00:22.865370,Student_819,BBA,Tech Fest,2,Very inspiring and fun event.,Start the event on time.
2025-05-12 16:00:22.865370,Student_260,BBA,Cultural Week,5,Great work by the organizing committee!,Keep it up!
2025-01-12 16:00:22.865370,Student_497,BBA,Workshop,2,I liked it but it started late.,Bring more sponsors.
2024-12-28 16:00:22.865370,Student_603,MBA,Seminar,5,Could have more workshops next time.,Make it longer next time!
2025-06-15 16:00:22.865370,Student_294,IT,Tech Fest,2,Could have more workshops next time.,Keep it up!
2025-06-22 16:00:22.865370,Student_132,MBA,Cultural Week,5,The event was really well organized and enjoyable.,Start the event on time.
2025-10-06 16:00:22.865370,Student_849,CSE,Cultural Week,3,The event was really well organized and enjoyable.,Keep it up!
2025-09-20 16:00:22.865370,Student_329,IT,Cultural Week,2,I liked it but it started late.,Need more technical activities.
2025-09-07 16:00:22.865370,Student_537,ME,Hackathon,5,Great work by the organizing committee!,Better food arrangements needed.
2025-01-18 16:00:22.865370,Student_126,BBA,Alumni Meet,3,"It was average, expected better coordination.",Start the event on time.
2025-01-24 16:00:22.865370,Student_897,BBA,Workshop,2,The event was engaging and informative.,Include more guest speakers.
2025-01-17 16:00:22.865370,Student_978,Civil,Cultural Week,5,The event was really well organized and enjoyable.,Bring more sponsors.
2024-12-15 16:00:22.865370,Student_915,ECE,Seminar,4,Could have more workshops next time.,Bring more sponsors.
2025-10-24 16:00:22.865370,Student_646,MBA,Tech Fest,5,"Loved the energy, but the management could improve.",Improve the coordination next time.
2025-09-09 16:00:22.865370,Student_611,MBA,Cultural Week,2,Excellent event! Great speakers and arrangements.,Keep it up!
2025-05-09 16:00:22.865370,Student_319,ME,Workshop,3,I liked it but it started late.,Improve the coordination next time.
2025-09-12 16:00:22.865370,Student_472,Civil,Workshop,3,Good experience but the sound system had issues.,Include more guest speakers.
2025-07-21 16:00:22.865370,Student_991,ECE,Tech Fest,2,The event was engaging and informative.,Better food arrangements needed.
2025-09-21 16:00:22.865370,Student_379,BBA,Workshop,2,Could have more workshops next time.,Improve the coordination next time.
2024-12-30 16:00:22.865370,Student_280,ME,Sports Meet,4,"It was average, expected better coordination.",Provide feedback certificates.
2025-07-21 16:00:22.865370,Student_799,CSE,Workshop,2,The event was really well organized and enjoyable.,Provide feedback certificates.
2025-07-04 16:00:22.865370,Student_290,Civil,Seminar,2,Good experience but the sound system had issues.,Keep it up!
2025-05-20 16:00:22.865370,Student_355,ME,Hackathon,4,Great work by the organizing committee!,Keep it up!
2025-06-22 16:00:22.865370,Student_117,BBA,Alumni Meet,2,Very inspiring and fun event.,Improve the coordination next time.
2025-03-19 16:00:22.865370,Student_665,CSE,Alumni Meet,3,Could have more workshops next time.,Keep it up!
2024-12-09 16:00:22.865370,Student_971,Civil,Workshop,3,"Loved the energy, but the management could improve.",Provide feedback certificates.
2025-01-21 16:00:22.865370,Student_725,Civil,Workshop,5,I liked it but it started late.,Provide feedback certificates.
2024-11-20 16:00:22.865370,Student_762,IT,Seminar,3,The event was really well organized and enjoyable.,Start the event on time.
2025-06-23 16:00:22.865370,Student_254,Civil,Hackathon,3,Very inspiring and fun event.,Start the event on time.
2025-01-28 16:00:22.865370,Student_203,IT,Tech Fest,2,Very inspiring and fun event.,Better food arrangements needed.
2025-01-02 16:00:22.865370,Student_345,ME,Cultural Week,5,The event was really well organized and enjoyable.,Improve the coordination next time.
2025-09-19 16:00:22.865370,Student_576,ME,Alumni Meet,3,Could have more workshops next time.,Start the event on time.
2025-02-23 16:00:22.865370,Student_637,MBA,Cultural Week,4,Great work by the organizing committee!,Keep it up!
2024-12-26 16:00:22.865370,Student_507,ECE,Tech Fest,2,The event was really well organized and enjoyable.,Provide feedback certificates.
2024-12-16 16:00:22.865370,Student_605,BBA,Alumni Meet,4,Great work by the organizing committee!,Better food arrangements needed.
2024-12-19 16:00:22.865370,Student_135,ME,Cultural Week,2,The event was really well organized and enjoyable.,Add more interactive sessions.
2025-10-08 16:00:22.865370,Student_420,IT,Workshop,5,Excellent event! Great speakers and arrangements.,Better food arrangements needed.
2025-06-08 16:00:22.865370,Student_982,MBA,Cultural Week,4,Great work by the organizing committee!,Better food arrangements needed.
2025-06-07 16:00:22.865370,Student_191,BBA,Hackathon,3,Great work by the organizing committee!,Make it longer next time!
2024-12-10 16:00:22.865370,Student_899,ME,Hackathon,4,Excellent event! Great speakers and arrangements.,Keep it up!
2024-11-20 16:00:22.865370,Student_150,ECE,Sports Meet,2,Very inspiring and fun event.,Improve the coordination next time.
2025-04-25 16:00:22.865370,Student_674,BBA,Alumni Meet,3,Excellent event! Great speakers and arrangements.,Need more technical activities.
2025-06-25 16:00:22.865370,Student_249,BBA,Cultural Week,3,Excellent event! Great speakers and arrangements.,Keep it up!
2025-08-31 16:00:22.865370,Student_441,ME,Workshop,2,"Loved the energy, but the management could improve.",Make it longer next time!
2025-05-01 16:00:22.865370,Student_781,ME,Alumni Meet,3,Good experience but the sound system had issues.,Make it longer next time!
2025-01-30 16:00:22.865370,Student_153,ECE,Cultural Week,4,The event was really well organized and enjoyable.,Provide feedback certificates.
2025-07-19 16:00:22.865370,Student_363,CSE,Cultural Week,2,The event was really well organized and enjoyable.,Improve the coordination next time.
2025-08-29 16:00:22.865370,Student_719,MBA,Seminar,2,"Loved the energy, but the management could improve.",Need more technical activities.
2025-07-17 16:00:22.865370,Student_295,BBA,Workshop,3,"It was average, expected better coordination.",Keep it up!
2024-11-12 16:00:22.865370,Student_146,Civil,Sports Meet,4,"It was average, expected better coordination.",Improve the coordination next time.
2024-12-21 16:00:22.865370,Student_919,CSE,Hackathon,5,Could have more workshops next time.,Bring more sponsors.
2025-02-01 16:00:22.865370,Student_469,Civil,Alumni Meet,5,Very inspiring and fun event.,Include more guest speakers.
2025-07-14 16:00:22.865370,Student_769,IT,Workshop,4,"It was average, expected better coordination.",Need more technical activities.
2025-06-05 16:00:22.865370,Student_219,ECE,Tech Fest,4,"It was average, expected better coordination.",Add more interactive sessions.
2025-01-26 16:00:22.865370,Student_703,CSE,Alumni Meet,3,The event was really well organized and enjoyable.,Need more technical activities.
2024-11-16 16:00:22.865370,Student_840,MBA,Cultural Week,3,Very inspiring and fun event.,Add more interactive sessions.
2025-07-03 16:00:22.865370,Student_929,CSE,Hackathon,4,I liked it but it started late.,Better food arrangements needed.
2025-06-23 16:00:22.865370,Student_492,MBA,Tech Fest,5,Excellent event! Great speakers and arrangements.,Make it longer next time!
2025-06-21 16:00:22.865370,Student_157,MBA,Tech Fest,3,Very inspiring and fun event.,Add more interactive sessions.
2025-10-27 16:00:22.865370,Student_850,ME,Hackathon,3,Very inspiring and fun event.,Bring more sponsors.
2025-07-24 16:00:22.865370,Student_737,MBA,Cultural Week,3,Good experience but the sound system had issues.,Provide feedback certificates.
2025-09-10 16:00:22.865370,Student_700,IT,Seminar,5,Very inspiring and fun event.,Need more technical activities.
2025-03-05 16:00:22.865370,Student_984,ECE,Alumni Meet,2,Good experience but the sound system had issues.,Keep it up!
2025-01-29 16:00:22.865370,Student_288,Civil,Sports Meet,4,The event was really well organized and enjoyable.,Need more technical activities.
2025-04-19 16:00:22.865370,Student_546,ECE,Sports Meet,2,The event was really well organized and enjoyable.,Need more technical activities.
2025-01-23 16:00:22.865370,Student_960,ECE,Hackathon,4,Good experience but the sound system had issues.,Keep it up!
2025-08-13 16:00:22.865370,Student_253,MBA,Alumni Meet,5,Good experience but the sound system had issues.,Bring more sponsors.
2025-08-03 16:00:22.865370,Student_796,IT,Hackathon,2,Excellent event! Great speakers and arrangements.,Provide feedback certificates.
2025-03-22 16:00:22.865370,Student_168,BBA,Sports Meet,4,Could have more workshops next time.,Better food arrangements needed.
2025-07-26 16:00:22.865370,Student_849,CSE,Hackathon,3,"Loved the energy, but the management could improve.",Need more technical activities.
2025-04-07 16:00:22.865370,Student_317,Civil,Sports Meet,3,I liked it but it started late.,Need more technical activities.
2024-11-21 16:00:22.865370,Student_650,MBA,Seminar,5,Excellent event! Great speakers and arrangements.,Better food arrangements needed.
2025-01-12 16:00:22.865370,Student_353,CSE,Alumni Meet,3,Great work by the organizing committee!,Make it longer next time!
2024-11-05 16:00:22.865370,Student_122,BBA,Cultural Week,3,Excellent event! Great speakers and arrangements.,Improve the coordination next time.
2025-10-18 16:00:22.865370,Student_857,ECE,Alumni Meet,2,I liked it but it started late.,Need more technical activities.
2025-07-20 16:00:22.865370,Student_901,ME,Cultural Week,5,"It was average, expected better coordination.",Need more technical activities.
2025-03-19 16:00:22.865370,Student_861,MBA,Alumni Meet,4,Great work by the organizing committee!,Better food arrangements needed.
2025-07-24 16:00:22.865370,Student_868,Civil,Alumni Meet,5,"It was average, expected better coordination.",Bring more sponsors.
2024-12-07 16:00:22.865370,Student_615,Civil,Workshop,5,I liked it but it started late.,Improve the coordination next time.
2025-01-21 16:00:22.865370,Student_435,BBA,Alumni Meet,4,The event was really well organized and enjoyable.,Start the event on time.
2025-02-12 16:00:22.865370,Student_596,ECE,Hackathon,5,I liked it but it started late.,Provide feedback certificates.
2025-05-21 16:00:22.865370,Student_574,MBA,Seminar,5,"It was average, expected better coordination.",Improve the coordination next time.
2025-05-29 16:00:22.865370,Student_789,IT,Tech Fest,4,"It was average, expected better coordination.",Improve the coordination next time.
2025-09-25 16:00:22.865370,Student_790,IT,Cultural Week,4,The event was engaging and informative.,Provide feedback certificates.
2025-07-19 16:00:22.865370,Student_367,Civil,Seminar,4,"It was average, expected better coordination.",Keep it up!
2025-08-24 16:00:22.865370,Student_516,MBA,Hackathon,5,The event was really well organized and enjoyable.,Improve the coordination next time.
2024-12-02 16:00:22.865370,Student_142,BBA,Sports Meet,5,"Loved the energy, but the management could improve.",Need more technical activities.
2025-01-16 16:00:22.865370,Student_496,ECE,Alumni Meet,5,Good experience but the sound system had issues.,Start the event on time.
2025-07-25 16:00:22.865370,Student_401,BBA,Alumni Meet,3,Could have more workshops next time.,Make it longer next time!
2025-02-17 16:00:22.865370,Student_598,MBA,Workshop,3,Good experience but the sound system had issues.,Make it longer next time!
2025-09-23 16:00:22.865370,Student_826,ECE,Seminar,2,Could have more workshops next time.,Include more guest speakers.
2025-07-30 16:00:22.865370,Student_875,ME,Workshop,2,The event was engaging and informative.,Need more technical activities.
2025-07-30 16:00:22.865370,Student_517,MBA,Hackathon,4,"Loved the energy, but the management could improve.",Start the event on time.
2025-07-15 16:00:22.865370,Student_295,ME,Sports Meet,3,Very inspiring and fun event.,Provide feedback certificates.
2025-07-06 16:00:22.865370,Student_592,Civil,Tech Fest,4,Great work by the organizing committee!,Start the event on time.
2025-03-25 16:00:22.865370,Student_376,Civil,Hackathon,2,"Loved the energy, but the management could improve.",Bring more sponsors.
2025-02-21 16:00:22.865370,Student_775,ME,Workshop,3,I liked it but it started late.,Better food arrangements needed.
2024-11-05 16:00:22.866379,Student_556,IT,Seminar,5,Good experience but the sound system had issues.,Better food arrangements needed.
2025-04-19 16:00:22.866379,Student_838,CSE,Sports Meet,2,"It was average, expected better coordination.",Add more interactive sessions.
2025-07-21 16:00:22.866379,Student_647,MBA,Hackathon,3,The event was engaging and informative.,Bring more sponsors.
